title,url,
Hybrid heuristic algorithm for multi-objective scheduling problem,http://www.jseepub.com/EN/10.21629/JSEE.2019.02.12,
MapReduce rationality verification based on object Petri net,http://www.jseepub.com/EN/10.21629/JSEE.2019.05.05,
Computing and Communications for the Software-Defined Metamaterial Paradigm: A Context Analysis,https://ieeexplore.ieee.org/document/7896565/,
